2024-10-04 14:43:53,515 INFO  [main] c.n.R.B.BaseAPITest - Extent Report Initialized successfully
2024-10-04 14:43:55,080 INFO  [main] c.n.R.B.BaseAPITest - REQUEST INFO
2024-10-04 14:43:55,080 INFO  [main] c.n.R.B.BaseAPITest - HTTP METHOD : PUT
2024-10-04 14:43:55,080 INFO  [main] c.n.R.B.BaseAPITest - ENDPOINT : api/v1/Authors/authors/books/{id}
2024-10-04 14:43:55,080 INFO  [main] c.n.R.B.BaseAPITest - HEADERS : {Content-type=application/json, Content-Type=application/json}
2024-10-04 14:43:55,081 INFO  [main] c.n.R.B.BaseAPITest - QUERY PARAMS : {}
2024-10-04 14:43:55,081 INFO  [main] c.n.R.B.BaseAPITest - PATH PARAMS : {id=1}
2024-10-04 14:43:55,081 INFO  [main] c.n.R.B.BaseAPITest - REQUEST PAYLOAD :{"id":1,"idBook":23,"firstName":"Updated FirstName","lastName":"Updated LastName"}
2024-10-04 14:43:56,431 INFO  [main] c.n.R.B.BaseAPITest - STATUS CODE: 405
2024-10-04 14:43:56,435 INFO  [main] c.n.R.B.BaseAPITest - RESPONSE PAYLOAD : 
2024-10-04 14:43:56,437 INFO  [main] c.n.R.B.BaseAPITest - Assertion Failed - Author updated successfully
2024-10-04 14:43:56,707 INFO  [main] c.n.R.B.BaseAPITest - REQUEST INFO
2024-10-04 14:43:56,707 INFO  [main] c.n.R.B.BaseAPITest - HTTP METHOD : PUT
2024-10-04 14:43:56,707 INFO  [main] c.n.R.B.BaseAPITest - ENDPOINT : api/v1/Authors/authors/books/{id}
2024-10-04 14:43:56,707 INFO  [main] c.n.R.B.BaseAPITest - HEADERS : {Content-type=application/json, Content-Type=application/json}
2024-10-04 14:43:56,707 INFO  [main] c.n.R.B.BaseAPITest - QUERY PARAMS : {}
2024-10-04 14:43:56,709 INFO  [main] c.n.R.B.BaseAPITest - PATH PARAMS : {id=-1}
2024-10-04 14:43:56,709 INFO  [main] c.n.R.B.BaseAPITest - REQUEST PAYLOAD :{"id":-1,"idBook":0,"firstName":"Invalid FirstName","lastName":"Invalid LastName"}
2024-10-04 14:43:57,175 INFO  [main] c.n.R.B.BaseAPITest - STATUS CODE: 405
2024-10-04 14:43:57,175 INFO  [main] c.n.R.B.BaseAPITest - RESPONSE PAYLOAD : 
2024-10-04 14:43:57,176 INFO  [main] c.n.R.B.BaseAPITest - Assertion Failed - Invalid author ID should return 400 Bad Request
2024-10-04 14:43:57,442 INFO  [main] c.n.R.B.BaseAPITest - REQUEST INFO
2024-10-04 14:43:57,442 INFO  [main] c.n.R.B.BaseAPITest - HTTP METHOD : PUT
2024-10-04 14:43:57,442 INFO  [main] c.n.R.B.BaseAPITest - ENDPOINT : api/v1/Authors/authors/books/{id}
2024-10-04 14:43:57,443 INFO  [main] c.n.R.B.BaseAPITest - HEADERS : {Content-type=application/json, Content-Type=application/json}
2024-10-04 14:43:57,443 INFO  [main] c.n.R.B.BaseAPITest - QUERY PARAMS : {}
2024-10-04 14:43:57,443 INFO  [main] c.n.R.B.BaseAPITest - PATH PARAMS : {id=1}
