2024-10-04 14:06:00,837 INFO  [main] c.n.R.B.BaseAPITest - Extent Report Initialized successfully
2024-10-04 14:06:02,533 INFO  [main] c.n.R.B.BaseAPITest - REQUEST INFO
2024-10-04 14:06:02,533 INFO  [main] c.n.R.B.BaseAPITest - HTTP METHOD : DELETE
2024-10-04 14:06:02,533 INFO  [main] c.n.R.B.BaseAPITest - ENDPOINT : api/v1/Authors/authors/books/{id}/1
2024-10-04 14:06:02,533 INFO  [main] c.n.R.B.BaseAPITest - HEADERS : {Content-type=application/json, Content-Type=application/json}
2024-10-04 14:06:02,534 INFO  [main] c.n.R.B.BaseAPITest - QUERY PARAMS : {}
2024-10-04 14:06:02,534 INFO  [main] c.n.R.B.BaseAPITest - PATH PARAMS : {}
2024-10-04 14:06:03,218 INFO  [main] c.n.R.B.BaseAPITest - REQUEST INFO
2024-10-04 14:06:03,219 INFO  [main] c.n.R.B.BaseAPITest - HTTP METHOD : DELETE
2024-10-04 14:06:03,219 INFO  [main] c.n.R.B.BaseAPITest - ENDPOINT : api/v1/Authors/authors/books/{id}/1
2024-10-04 14:06:03,219 INFO  [main] c.n.R.B.BaseAPITest - HEADERS : {Content-type=application/json, Content-Type=application/json}
2024-10-04 14:06:03,219 INFO  [main] c.n.R.B.BaseAPITest - QUERY PARAMS : {}
2024-10-04 14:06:03,220 INFO  [main] c.n.R.B.BaseAPITest - PATH PARAMS : {}
2024-10-04 14:06:03,508 INFO  [main] c.n.R.B.BaseAPITest - REQUEST INFO
2024-10-04 14:06:03,508 INFO  [main] c.n.R.B.BaseAPITest - HTTP METHOD : DELETE
2024-10-04 14:06:03,508 INFO  [main] c.n.R.B.BaseAPITest - ENDPOINT : api/v1/Authors/authors/books/{id}/-1
2024-10-04 14:06:03,508 INFO  [main] c.n.R.B.BaseAPITest - HEADERS : {Content-type=application/json, Content-Type=application/json}
2024-10-04 14:06:03,508 INFO  [main] c.n.R.B.BaseAPITest - QUERY PARAMS : {}
2024-10-04 14:06:03,509 INFO  [main] c.n.R.B.BaseAPITest - PATH PARAMS : {}
2024-10-04 14:06:03,798 INFO  [main] c.n.R.B.BaseAPITest - REQUEST INFO
2024-10-04 14:06:03,798 INFO  [main] c.n.R.B.BaseAPITest - HTTP METHOD : DELETE
2024-10-04 14:06:03,798 INFO  [main] c.n.R.B.BaseAPITest - ENDPOINT : api/v1/Authors/authors/books/{id}/999
2024-10-04 14:06:03,798 INFO  [main] c.n.R.B.BaseAPITest - HEADERS : {Content-type=application/json, Content-Type=application/json}
2024-10-04 14:06:03,799 INFO  [main] c.n.R.B.BaseAPITest - QUERY PARAMS : {}
2024-10-04 14:06:03,799 INFO  [main] c.n.R.B.BaseAPITest - PATH PARAMS : {}
