2024-10-04 14:46:40,216 INFO  [main] c.n.R.B.BaseAPITest - Extent Report Initialized successfully
2024-10-04 14:46:41,844 INFO  [main] c.n.R.B.BaseAPITest - REQUEST INFO
2024-10-04 14:46:41,844 INFO  [main] c.n.R.B.BaseAPITest - HTTP METHOD : PUT
2024-10-04 14:46:41,844 INFO  [main] c.n.R.B.BaseAPITest - ENDPOINT : api/v1/Authors/authors/books/1
2024-10-04 14:46:41,844 INFO  [main] c.n.R.B.BaseAPITest - HEADERS : {Content-type=application/json, Content-Type=application/json}
2024-10-04 14:46:41,844 INFO  [main] c.n.R.B.BaseAPITest - QUERY PARAMS : {}
2024-10-04 14:46:41,845 INFO  [main] c.n.R.B.BaseAPITest - PATH PARAMS : {}
2024-10-04 14:46:41,845 INFO  [main] c.n.R.B.BaseAPITest - REQUEST PAYLOAD :{"id":1,"idBook":23,"firstName":"Updated FirstName","lastName":"Updated LastName"}
2024-10-04 14:46:43,149 INFO  [main] c.n.R.B.BaseAPITest - STATUS CODE: 405
2024-10-04 14:46:43,153 INFO  [main] c.n.R.B.BaseAPITest - RESPONSE PAYLOAD : 
2024-10-04 14:46:43,156 INFO  [main] c.n.R.B.BaseAPITest - Assertion Failed - Author updated successfully
2024-10-04 14:46:43,452 INFO  [main] c.n.R.B.BaseAPITest - REQUEST INFO
2024-10-04 14:46:43,452 INFO  [main] c.n.R.B.BaseAPITest - HTTP METHOD : PUT
2024-10-04 14:46:43,452 INFO  [main] c.n.R.B.BaseAPITest - ENDPOINT : api/v1/Authors/authors/books/-1
2024-10-04 14:46:43,452 INFO  [main] c.n.R.B.BaseAPITest - HEADERS : {Content-type=application/json, Content-Type=application/json}
2024-10-04 14:46:43,452 INFO  [main] c.n.R.B.BaseAPITest - QUERY PARAMS : {}
2024-10-04 14:46:43,453 INFO  [main] c.n.R.B.BaseAPITest - PATH PARAMS : {}
2024-10-04 14:46:43,453 INFO  [main] c.n.R.B.BaseAPITest - REQUEST PAYLOAD :{"id":-1,"idBook":0,"firstName":"Invalid FirstName","lastName":"Invalid LastName"}
2024-10-04 14:46:43,913 INFO  [main] c.n.R.B.BaseAPITest - STATUS CODE: 405
2024-10-04 14:46:43,914 INFO  [main] c.n.R.B.BaseAPITest - RESPONSE PAYLOAD : 
2024-10-04 14:46:43,914 INFO  [main] c.n.R.B.BaseAPITest - Assertion Failed - Invalid author ID should return 400 Bad Request
2024-10-04 14:46:44,206 INFO  [main] c.n.R.B.BaseAPITest - REQUEST INFO
2024-10-04 14:46:44,207 INFO  [main] c.n.R.B.BaseAPITest - HTTP METHOD : PUT
2024-10-04 14:46:44,207 INFO  [main] c.n.R.B.BaseAPITest - ENDPOINT : api/v1/Authors/authors/books/1
2024-10-04 14:46:44,207 INFO  [main] c.n.R.B.BaseAPITest - HEADERS : {Content-type=application/json, Content-Type=application/json}
2024-10-04 14:46:44,207 INFO  [main] c.n.R.B.BaseAPITest - QUERY PARAMS : {}
2024-10-04 14:46:44,207 INFO  [main] c.n.R.B.BaseAPITest - PATH PARAMS : {}
2024-10-04 14:46:44,208 INFO  [main] c.n.R.B.BaseAPITest - REQUEST PAYLOAD :{"id":1,"idBook":6,"firstName":"AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA","lastName":"BBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBBB"}
2024-10-04 14:46:44,667 INFO  [main] c.n.R.B.BaseAPITest - STATUS CODE: 405
2024-10-04 14:46:44,667 INFO  [main] c.n.R.B.BaseAPITest - RESPONSE PAYLOAD : 
2024-10-04 14:46:44,669 INFO  [main] c.n.R.B.BaseAPITest - Assertion Failed - Author updated with max length fields
2024-10-04 14:46:44,959 INFO  [main] c.n.R.B.BaseAPITest - REQUEST INFO
2024-10-04 14:46:44,960 INFO  [main] c.n.R.B.BaseAPITest - HTTP METHOD : PUT
2024-10-04 14:46:44,960 INFO  [main] c.n.R.B.BaseAPITest - ENDPOINT : api/v1/Authors/authors/books/1
2024-10-04 14:46:44,960 INFO  [main] c.n.R.B.BaseAPITest - HEADERS : {Content-type=application/json, Content-Type=application/json}
2024-10-04 14:46:44,960 INFO  [main] c.n.R.B.BaseAPITest - QUERY PARAMS : {}
2024-10-04 14:46:44,960 INFO  [main] c.n.R.B.BaseAPITest - PATH PARAMS : {}
2024-10-04 14:46:44,960 INFO  [main] c.n.R.B.BaseAPITest - REQUEST PAYLOAD :{"id":1,"idBook":9,"firstName":"Existing FirstName","lastName":"Existing LastName"}
2024-10-04 14:46:45,422 INFO  [main] c.n.R.B.BaseAPITest - STATUS CODE: 405
2024-10-04 14:46:45,423 INFO  [main] c.n.R.B.BaseAPITest - RESPONSE PAYLOAD : 
2024-10-04 14:46:45,423 INFO  [main] c.n.R.B.BaseAPITest - Assertion Failed - No changes made to the author
