2024-10-04 15:52:57,994 INFO  [main] c.n.R.B.BaseAPITest - Extent Report Initialized successfully
2024-10-04 15:52:59,526 INFO  [main] c.n.R.B.BaseAPITest - REQUEST INFO
2024-10-04 15:52:59,528 INFO  [main] c.n.R.B.BaseAPITest - HTTP METHOD : DELETE
2024-10-04 15:52:59,528 INFO  [main] c.n.R.B.BaseAPITest - ENDPOINT : api/v1/Authors/1
2024-10-04 15:52:59,528 INFO  [main] c.n.R.B.BaseAPITest - HEADERS : {Content-type=application/json, Content-Type=application/json}
2024-10-04 15:52:59,528 INFO  [main] c.n.R.B.BaseAPITest - QUERY PARAMS : {}
2024-10-04 15:52:59,528 INFO  [main] c.n.R.B.BaseAPITest - PATH PARAMS : {}
2024-10-04 15:53:00,755 INFO  [main] c.n.R.B.BaseAPITest - STATUS CODE: 200
2024-10-04 15:53:00,762 INFO  [main] c.n.R.B.BaseAPITest - RESPONSE PAYLOAD : 
2024-10-04 15:53:00,764 INFO  [main] c.n.R.B.BaseAPITest - Assertion Passed - Author deleted successfully
2024-10-04 15:53:01,040 INFO  [main] c.n.R.B.BaseAPITest - REQUEST INFO
2024-10-04 15:53:01,041 INFO  [main] c.n.R.B.BaseAPITest - HTTP METHOD : DELETE
2024-10-04 15:53:01,041 INFO  [main] c.n.R.B.BaseAPITest - ENDPOINT : api/v1/Authors/1
2024-10-04 15:53:01,041 INFO  [main] c.n.R.B.BaseAPITest - HEADERS : {Content-type=application/json, Content-Type=application/json}
2024-10-04 15:53:01,041 INFO  [main] c.n.R.B.BaseAPITest - QUERY PARAMS : {}
2024-10-04 15:53:01,041 INFO  [main] c.n.R.B.BaseAPITest - PATH PARAMS : {}
2024-10-04 15:53:01,528 INFO  [main] c.n.R.B.BaseAPITest - STATUS CODE: 200
2024-10-04 15:53:01,528 INFO  [main] c.n.R.B.BaseAPITest - RESPONSE PAYLOAD : 
2024-10-04 15:53:01,528 INFO  [main] c.n.R.B.BaseAPITest - Assertion Passed - Author deleted successfully
2024-10-04 15:53:01,528 INFO  [main] c.n.R.B.BaseAPITest - REQUEST INFO
2024-10-04 15:53:01,528 INFO  [main] c.n.R.B.BaseAPITest - HTTP METHOD : DELETE
2024-10-04 15:53:01,528 INFO  [main] c.n.R.B.BaseAPITest - ENDPOINT : api/v1/Authors/
2024-10-04 15:53:01,529 INFO  [main] c.n.R.B.BaseAPITest - HEADERS : {Content-type=application/json, Content-Type=application/json}
2024-10-04 15:53:01,529 INFO  [main] c.n.R.B.BaseAPITest - QUERY PARAMS : {}
2024-10-04 15:53:01,529 INFO  [main] c.n.R.B.BaseAPITest - PATH PARAMS : {}
2024-10-04 15:53:02,010 INFO  [main] c.n.R.B.BaseAPITest - STATUS CODE: 405
2024-10-04 15:53:02,010 INFO  [main] c.n.R.B.BaseAPITest - RESPONSE PAYLOAD : 
2024-10-04 15:53:02,011 INFO  [main] c.n.R.B.BaseAPITest - Assertion Failed - Not Found: Author does not exist
2024-10-04 15:53:02,287 INFO  [main] c.n.R.B.BaseAPITest - REQUEST INFO
2024-10-04 15:53:02,287 INFO  [main] c.n.R.B.BaseAPITest - HTTP METHOD : DELETE
2024-10-04 15:53:02,287 INFO  [main] c.n.R.B.BaseAPITest - ENDPOINT : api/v1/Authors/-1
2024-10-04 15:53:02,287 INFO  [main] c.n.R.B.BaseAPITest - HEADERS : {Content-type=application/json, Content-Type=application/json}
2024-10-04 15:53:02,288 INFO  [main] c.n.R.B.BaseAPITest - QUERY PARAMS : {}
2024-10-04 15:53:02,288 INFO  [main] c.n.R.B.BaseAPITest - PATH PARAMS : {}
2024-10-04 15:53:02,763 INFO  [main] c.n.R.B.BaseAPITest - STATUS CODE: 200
2024-10-04 15:53:02,763 INFO  [main] c.n.R.B.BaseAPITest - RESPONSE PAYLOAD : 
2024-10-04 15:53:02,763 INFO  [main] c.n.R.B.BaseAPITest - Assertion Failed - Bad Request: Invalid author ID
2024-10-04 15:53:03,042 INFO  [main] c.n.R.B.BaseAPITest - REQUEST INFO
2024-10-04 15:53:03,042 INFO  [main] c.n.R.B.BaseAPITest - HTTP METHOD : DELETE
2024-10-04 15:53:03,043 INFO  [main] c.n.R.B.BaseAPITest - ENDPOINT : api/v1/Authors/999
2024-10-04 15:53:03,043 INFO  [main] c.n.R.B.BaseAPITest - HEADERS : {Content-type=application/json, Content-Type=application/json}
2024-10-04 15:53:03,043 INFO  [main] c.n.R.B.BaseAPITest - QUERY PARAMS : {}
2024-10-04 15:53:03,043 INFO  [main] c.n.R.B.BaseAPITest - PATH PARAMS : {}
2024-10-04 15:53:03,512 INFO  [main] c.n.R.B.BaseAPITest - STATUS CODE: 200
2024-10-04 15:53:03,512 INFO  [main] c.n.R.B.BaseAPITest - RESPONSE PAYLOAD : 
2024-10-04 15:53:03,513 INFO  [main] c.n.R.B.BaseAPITest - Assertion Failed - Not Found: Author does not exist
