2024-10-04 15:53:55,304 INFO  [main] c.n.R.B.BaseAPITest - Extent Report Initialized successfully
2024-10-04 15:53:56,993 INFO  [main] c.n.R.B.BaseAPITest - REQUEST INFO
2024-10-04 15:53:56,993 INFO  [main] c.n.R.B.BaseAPITest - HTTP METHOD : DELETE
2024-10-04 15:53:56,993 INFO  [main] c.n.R.B.BaseAPITest - ENDPOINT : api/v1/Authors/1
2024-10-04 15:53:56,993 INFO  [main] c.n.R.B.BaseAPITest - HEADERS : {Content-type=application/json, Content-Type=application/json}
2024-10-04 15:53:56,994 INFO  [main] c.n.R.B.BaseAPITest - QUERY PARAMS : {}
2024-10-04 15:53:56,994 INFO  [main] c.n.R.B.BaseAPITest - PATH PARAMS : {}
2024-10-04 15:53:58,194 INFO  [main] c.n.R.B.BaseAPITest - STATUS CODE: 200
2024-10-04 15:53:58,203 INFO  [main] c.n.R.B.BaseAPITest - RESPONSE PAYLOAD : 
2024-10-04 15:53:58,205 INFO  [main] c.n.R.B.BaseAPITest - Assertion Passed - Author deleted successfully
2024-10-04 15:53:58,488 INFO  [main] c.n.R.B.BaseAPITest - REQUEST INFO
2024-10-04 15:53:58,488 INFO  [main] c.n.R.B.BaseAPITest - HTTP METHOD : DELETE
2024-10-04 15:53:58,489 INFO  [main] c.n.R.B.BaseAPITest - ENDPOINT : api/v1/Authors/1
2024-10-04 15:53:58,489 INFO  [main] c.n.R.B.BaseAPITest - HEADERS : {Content-type=application/json, Content-Type=application/json}
2024-10-04 15:53:58,489 INFO  [main] c.n.R.B.BaseAPITest - QUERY PARAMS : {}
2024-10-04 15:53:58,489 INFO  [main] c.n.R.B.BaseAPITest - PATH PARAMS : {}
2024-10-04 15:53:58,969 INFO  [main] c.n.R.B.BaseAPITest - STATUS CODE: 200
2024-10-04 15:53:58,969 INFO  [main] c.n.R.B.BaseAPITest - RESPONSE PAYLOAD : 
2024-10-04 15:53:58,970 INFO  [main] c.n.R.B.BaseAPITest - Assertion Passed - Author deleted successfully
2024-10-04 15:53:58,970 INFO  [main] c.n.R.B.BaseAPITest - REQUEST INFO
2024-10-04 15:53:58,970 INFO  [main] c.n.R.B.BaseAPITest - HTTP METHOD : DELETE
2024-10-04 15:53:58,970 INFO  [main] c.n.R.B.BaseAPITest - ENDPOINT : api/v1/Authors/
2024-10-04 15:53:58,970 INFO  [main] c.n.R.B.BaseAPITest - HEADERS : {Content-type=application/json, Content-Type=application/json}
2024-10-04 15:53:58,970 INFO  [main] c.n.R.B.BaseAPITest - QUERY PARAMS : {}
2024-10-04 15:53:58,971 INFO  [main] c.n.R.B.BaseAPITest - PATH PARAMS : {}
2024-10-04 15:53:59,463 INFO  [main] c.n.R.B.BaseAPITest - STATUS CODE: 405
2024-10-04 15:53:59,463 INFO  [main] c.n.R.B.BaseAPITest - RESPONSE PAYLOAD : 
2024-10-04 15:53:59,463 INFO  [main] c.n.R.B.BaseAPITest - Assertion Passed - Not Found: Author does not exist
2024-10-04 15:53:59,745 INFO  [main] c.n.R.B.BaseAPITest - REQUEST INFO
2024-10-04 15:53:59,745 INFO  [main] c.n.R.B.BaseAPITest - HTTP METHOD : DELETE
2024-10-04 15:53:59,745 INFO  [main] c.n.R.B.BaseAPITest - ENDPOINT : api/v1/Authors/-1
2024-10-04 15:53:59,745 INFO  [main] c.n.R.B.BaseAPITest - HEADERS : {Content-type=application/json, Content-Type=application/json}
2024-10-04 15:53:59,746 INFO  [main] c.n.R.B.BaseAPITest - QUERY PARAMS : {}
2024-10-04 15:53:59,746 INFO  [main] c.n.R.B.BaseAPITest - PATH PARAMS : {}
2024-10-04 15:54:00,216 INFO  [main] c.n.R.B.BaseAPITest - STATUS CODE: 200
2024-10-04 15:54:00,217 INFO  [main] c.n.R.B.BaseAPITest - RESPONSE PAYLOAD : 
2024-10-04 15:54:00,217 INFO  [main] c.n.R.B.BaseAPITest - Assertion Failed - Bad Request: Invalid author ID
2024-10-04 15:54:00,499 INFO  [main] c.n.R.B.BaseAPITest - REQUEST INFO
2024-10-04 15:54:00,499 INFO  [main] c.n.R.B.BaseAPITest - HTTP METHOD : DELETE
2024-10-04 15:54:00,499 INFO  [main] c.n.R.B.BaseAPITest - ENDPOINT : api/v1/Authors/999
2024-10-04 15:54:00,499 INFO  [main] c.n.R.B.BaseAPITest - HEADERS : {Content-type=application/json, Content-Type=application/json}
2024-10-04 15:54:00,499 INFO  [main] c.n.R.B.BaseAPITest - QUERY PARAMS : {}
2024-10-04 15:54:00,499 INFO  [main] c.n.R.B.BaseAPITest - PATH PARAMS : {}
2024-10-04 15:54:00,977 INFO  [main] c.n.R.B.BaseAPITest - STATUS CODE: 200
2024-10-04 15:54:00,977 INFO  [main] c.n.R.B.BaseAPITest - RESPONSE PAYLOAD : 
2024-10-04 15:54:00,978 INFO  [main] c.n.R.B.BaseAPITest - Assertion Failed - Not Found: Author does not exist
